Steps,Robot X Coordinates
1,-8.037917723413557e-06
2,0.010537868365645409
3,0.03691468387842178
4,0.052147965878248215
5,0.06418894976377487
6,0.07296083867549896
7,0.0788450762629509
8,0.09098155796527863
9,0.09682022035121918
10,0.11270131170749664
11,0.14016664028167725
12,0.16057123243808746
13,0.17546521127223969
14,0.19385598599910736
15,0.2072586864233017
16,0.21218815445899963
17,0.21909017860889435
18,0.23520468175411224
19,0.2502690851688385
20,0.27267393469810486
21,0.2864236831665039
22,0.29910409450531006
23,0.3224474787712097
24,0.34537258744239807
25,0.3634577691555023
26,0.3799480199813843
27,0.39630237221717834
28,0.4331837296485901
29,0.4889264702796936
30,0.5598570704460144
31,0.6258953809738159
32,0.6935349106788635
33,0.7388266324996948
34,0.7647880911827087
35,0.7774443626403809
36,0.7879395484924316
37,0.7959667444229126
38,0.8013682961463928
39,0.8127703070640564
40,0.8306838274002075
41,0.8596583604812622
42,0.8906649947166443
43,0.9087094068527222
44,0.9164853096008301
45,0.919971227645874
46,0.927048921585083
47,0.9356688857078552
48,0.9458604454994202
49,0.9484004974365234
50,0.9590693116188049
51,0.9737351536750793
52,0.987297773361206
53,0.9906809329986572
54,0.9824874997138977
55,0.9558486342430115
56,0.9285699725151062
57,0.9210655689239502
58,0.9174553155899048
59,0.9055510759353638
60,0.8858014345169067
61,0.8576980233192444
62,0.8250166773796082
63,0.7930834889411926
64,0.7692255973815918
65,0.7386125326156616
66,0.7121056318283081
67,0.6973526477813721
68,0.6789866089820862
69,0.6509564518928528
70,0.6091474890708923
71,0.5600456595420837
72,0.5118241310119629
73,0.4831266403198242
74,0.4564734697341919
75,0.44502538442611694
76,0.4497981667518616
77,0.45253556966781616
78,0.4434114098548889
79,0.4238559305667877
80,0.4014165699481964
81,0.37115415930747986
82,0.3494265079498291
83,0.33500388264656067
84,0.30416324734687805
85,0.25026097893714905
86,0.19105777144432068
87,0.14890995621681213
88,0.10405074059963226
89,0.05881933122873306
90,0.0283039677888155
91,0.005751379765570164
92,0.004009506199508905
93,0.018157081678509712
94,0.03419257327914238
95,0.04358293488621712
96,0.04854085296392441
97,0.057399868965148926
98,0.06549816578626633
99,0.06591261178255081
100,0.05861813947558403
101,0.04680929332971573
102,0.044225286692380905
103,0.056449227035045624
104,0.07441984117031097
105,0.08714969456195831
106,0.09322251379489899
107,0.09854915738105774
108,0.09851332008838654
109,0.09379809349775314
110,0.08969409018754959
111,0.0867006927728653
112,0.08159394562244415
113,0.0717526525259018
114,0.05939774215221405
115,0.046045318245887756
116,0.03301819786429405
117,0.02059898152947426
118,0.013030331581830978
119,0.010475357994437218
120,6.067114372854121e-05
121,-0.02353995107114315
122,-0.04992540180683136
123,-0.07809851318597794
124,-0.09645316004753113
125,-0.1041785329580307
126,-0.09936495870351791
127,-0.08814296126365662
128,-0.08880036324262619
129,-0.09307022392749786
130,-0.09562259912490845
131,-0.10450112819671631
132,-0.11240708082914352
133,-0.11588070541620255
134,-0.12167320400476456
135,-0.0001662146532908082
136,-0.00864329282194376
137,-0.025113670155405998
138,-0.050057485699653625
139,-0.08634569495916367
140,-0.11577527970075607
141,-0.15475378930568695
142,-0.18998326361179352
143,-0.207549586892128
144,-0.2203722447156906
145,-0.23584291338920593
146,-0.24935176968574524
147,-0.25209489464759827
148,-0.24240171909332275
149,-0.2147507518529892
